,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
175,40,0.5,26,0.8,1.840318859,1.8374914
176,22,0.6,26,0.2,1.838596768,1.8141091
177,40,0.6,26,0.2,1.838563927,1.8155133
178,40,0.6,20,0.4,1.832566408,1.8104019
179,22,0.6,20,0.4,1.832305579,1.8041509
180,22,0.7,32,0.2,1.828300784,1.7857378
181,40,0.7,32,0.2,1.827151808,1.760392
182,22,0.4,32,1,1.821192589,1.8058941
183,40,0.4,32,1,1.820550647,1.8038427
184,40,0.5,14,0.2,1.8050104,1.7596437
185,22,0.5,14,0.2,1.804910504,1.7560812
186,4,0.5,32,1,1.80104488,1.7721207
187,22,0.3,14,0.2,1.796227366,1.7784376
188,40,0.3,14,0.2,1.796147733,1.7994608
189,4,0.7,14,0.4,1.789356133,1.7534941
190,40,0.5,26,0.2,1.782399613,1.8535146
191,4,0.5,14,0.4,1.779110354,1.7757976
192,4,0.7,20,0.8,1.77850942,1.7623451
193,4,0.3,14,0.2,1.777793492,1.7674929
194,4,0.5,20,0.8,1.776502017,1.7585288
195,4,0.4,14,0.4,1.765284534,1.7458845
196,4,0.6,20,0.8,1.763228433,1.7321714
197,22,0.7,26,0.2,1.762842919,1.7654482
198,40,0.7,26,0.2,1.762624801,1.755613
199,4,0.4,20,0.8,1.758456632,1.7088869
200,22,0.4,14,0.4,1.757490138,1.7478607
201,40,0.4,14,0.4,1.75737621,1.7637604
202,4,0.2,20,0.4,1.757297863,1.7593774
203,22,0.6,32,0.8,1.756064507,1.7251563
204,22,0.2,20,0.4,1.7551119,1.7677722
205,40,0.2,20,0.4,1.755111344,1.776167
206,40,0.6,32,0.8,1.754510668,1.7282636
207,40,0.7,20,0.2,1.752261339,1.7255324
208,22,0.7,20,0.2,1.751897544,1.7271978
209,22,0.7,26,0.6,1.745837365,1.739805
210,40,0.7,26,0.6,1.745526361,1.7452999
211,22,0.5,20,0.2,1.743330403,1.818322
212,4,0.6,14,0.4,1.736850027,1.7326789
213,40,0.5,14,0.4,1.730057401,1.723982
214,22,0.5,14,0.4,1.729826885,1.7193816
215,4,0.7,14,0.6,1.71992686,1.677578
216,40,0.6,20,0.6,1.717009666,1.7098856
217,22,0.6,20,0.6,1.716783062,1.7073908
218,22,0.4,20,0.8,1.715227211,1.690416
219,40,0.4,20,0.8,1.715205766,1.6983213
220,4,0.4,26,1,1.714908183,1.7088851
221,4,0.5,26,1,1.714240228,1.6717819
222,40,0.7,20,0.4,1.71326231,1.7046832
223,22,0.7,20,0.4,1.712909731,1.7014015
224,4,0.6,32,1,1.709404592,1.7359595
225,4,0.7,26,1,1.707162614,1.6494803
226,4,0.2,32,1,1.695777242,1.6732159
227,40,0.6,14,0.2,1.689895367,1.6691281
228,22,0.6,14,0.2,1.689802051,1.6648383
229,40,0.5,20,0.8,1.687891612,1.6840067
230,22,0.5,20,0.8,1.68784926,1.686017
231,22,0.2,32,1,1.686810376,1.6687504
232,40,0.2,32,1,1.686728231,1.6719823
233,4,0.6,26,1,1.682302798,1.6268194
234,4,0.6,14,0.6,1.681328185,1.6557107
235,40,0.7,14,0.2,1.680180159,1.645849
236,22,0.7,14,0.2,1.680089609,1.6471567
237,4,0.3,26,1,1.672486809,1.6685709
238,22,0.4,26,1,1.664231293,1.6719269
239,40,0.4,26,1,1.663923539,1.6726537
240,40,0.4,8,0.2,1.662857834,1.6990218
241,22,0.4,8,0.2,1.662776345,1.6942929
242,4,0.5,14,0.6,1.657169474,1.6904392
243,22,0.6,26,0.8,1.64773572,1.6535268
244,40,0.6,26,0.8,1.647507142,1.6536177
245,22,0.7,32,0.8,1.646540414,1.6213448
246,22,0.3,26,1,1.645945076,1.657752
247,40,0.3,26,1,1.645788227,1.6632922
248,40,0.7,32,0.8,1.644214348,1.6189166
249,4,0.3,14,0.4,1.637484451,1.6519706
250,40,0.3,14,0.4,1.636549807,1.684553
251,22,0.3,14,0.4,1.636404754,1.6682618
252,4,0.4,8,0.2,1.635616608,1.680373
253,22,0.5,32,1,1.634376706,1.6530397
254,40,0.5,32,1,1.633212402,1.6566
255,4,0.2,26,0.8,1.631547903,1.6319599
256,4,0.5,8,0.2,1.627936542,1.622635
257,40,0.7,20,0.6,1.626688952,1.6126062
258,4,0.3,20,0.8,1.626358081,1.5888419
259,22,0.7,20,0.6,1.626113188,1.61293
260,40,0.2,26,0.8,1.62548001,1.6393608
261,22,0.2,26,0.8,1.625474389,1.6359627
262,40,0.6,14,0.4,1.624176422,1.6375012
263,22,0.6,14,0.4,1.623791703,1.6307949
264,40,0.6,20,0.2,1.619896187,1.7535908
265,22,0.6,20,0.2,1.619812669,1.755256
266,4,0.4,14,0.6,1.61713394,1.5876876
267,40,0.5,8,0.2,1.616293765,1.6142346
268,22,0.5,8,0.2,1.616103082,1.6102004
269,22,0.3,20,0.8,1.611772255,1.5980122
270,40,0.3,20,0.8,1.611746058,1.6108205
271,22,0.7,26,0.8,1.61128268,1.551772
272,40,0.5,14,0.6,1.609609339,1.6330442
273,22,0.5,14,0.6,1.609452097,1.6318097
274,4,0.7,8,0.2,1.600061999,1.6178646
275,4,0.6,8,0.2,1.597876509,1.5904855
276,40,0.4,14,0.6,1.59670457,1.5930772
277,22,0.4,14,0.6,1.596682471,1.5817336
278,40,0.6,20,0.8,1.592093571,1.5671585
279,22,0.6,20,0.8,1.59188431,1.567783
280,22,0.5,26,1,1.581004528,1.5863873
281,40,0.5,26,1,1.580593692,1.5846875
282,40,0.6,14,0.6,1.57648256,1.5847363
283,22,0.6,14,0.6,1.576108466,1.5816499
284,4,0.7,20,1,1.575454929,1.5438521
285,40,0.7,14,0.4,1.573167672,1.5849231
286,22,0.7,14,0.4,1.572536493,1.5818367
287,4,0.7,14,0.8,1.567314228,1.5642474
288,4,0.2,20,0.6,1.561993759,1.565921
289,22,0.2,20,0.6,1.558322944,1.5625199
290,40,0.2,20,0.6,1.558281309,1.5588444
291,40,0.7,26,0.8,1.548593126,1.5493441
292,22,0.6,8,0.2,1.546031223,1.5523603
293,4,0.5,20,1,1.546028482,1.5393406
294,4,0.6,20,1,1.538838221,1.5227752
295,4,0.6,14,0.8,1.529792712,1.5340179
296,40,0.7,14,0.6,1.528530428,1.5225981
297,22,0.7,14,0.6,1.527758208,1.5207107
298,4,0.7,8,0.4,1.517695203,1.4981657
299,40,0.7,8,0.2,1.516434549,1.5144306
300,22,0.7,8,0.2,1.516027169,1.5093485
301,40,0.7,20,0.8,1.499976651,1.4797714
302,22,0.7,20,0.8,1.498244098,1.4821994
303,4,0.4,20,1,1.496403474,1.4920343
304,40,0.6,32,1,1.49452584,1.4738879
305,4,0.5,14,0.8,1.481881437,1.4848899
306,40,0.6,8,0.2,1.473876209,1.5603374
307,4,0.6,8,0.4,1.458855346,1.45798
308,4,0.3,14,0.6,1.455637439,1.4452925
309,40,0.3,14,0.6,1.448516292,1.4609321
310,22,0.3,14,0.6,1.448489729,1.4526113
311,40,0.5,20,1,1.445070299,1.4608083
312,22,0.5,20,1,1.445029485,1.4600815
313,22,0.4,20,1,1.444591514,1.4626235
314,40,0.4,20,1,1.444367034,1.4697542
315,22,0.6,32,1,1.438877881,1.4733642
316,22,0.7,32,1,1.428378479,1.3896606
317,4,0.5,8,0.4,1.425515063,1.4200754
318,22,0.6,26,1,1.42474583,1.4203225
319,40,0.7,8,0.4,1.424555071,1.4169381
320,40,0.6,26,1,1.424192109,1.421205
321,22,0.7,8,0.4,1.423667759,1.4168257
322,40,0.5,14,0.8,1.423255771,1.4486806
323,22,0.5,14,0.8,1.423255621,1.4427111
324,40,0.6,14,0.8,1.417859353,1.44455
325,22,0.6,14,0.8,1.417707361,1.4466041
326,40,0.6,8,0.4,1.41297435,1.4228826
327,22,0.6,8,0.4,1.412491149,1.4191786
328,40,0.5,8,0.4,1.411378344,1.4336104
329,22,0.5,8,0.4,1.411062562,1.4170909
330,4,0.7,8,0.6,1.410801577,1.4025549
331,4,0.4,14,0.8,1.395084738,1.3904879
332,4,0.7,14,1,1.385390022,1.4044211
333,4,0.6,14,1,1.382237984,1.3971682
334,40,0.7,14,0.8,1.379318275,1.3911629
335,22,0.7,14,0.8,1.378734977,1.394561
336,40,0.7,32,1,1.371884905,1.3876653
337,4,0.2,26,1,1.370090956,1.380288
338,22,0.4,14,0.8,1.369898971,1.3829168
339,40,0.4,14,0.8,1.369829116,1.380835
340,4,0.6,8,0.6,1.36818128,1.3759277
341,4,0.3,20,1,1.367115185,1.3498021
342,22,0.2,26,1,1.362728368,1.3742847
343,40,0.2,26,1,1.362681284,1.3682815
344,22,0.6,20,1,1.361725076,1.369093
345,40,0.6,20,1,1.36168129,1.3699754
346,22,0.7,26,1,1.356458034,1.3346846
347,40,0.7,26,1,1.355859161,1.3330481
348,22,0.3,20,1,1.347054985,1.3391466
349,40,0.3,20,1,1.346978135,1.3352277
350,4,0.2,14,0.4,1.32741517,1.3414613
